Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time,,,
51,Study,4,4,,Study/JOL,BUFFER2,51,JOL,5,5,,,
0,Instruct,User,-,You have completed this section. Please press Enter.,Filler_Instruction,Instruct2,,No,,,,,
0,FreeRecall,120,120,Please list the 50 US states in alphabetical order. The task will automatically advance to the next screen after two minutes.,,Filler1,,No,,,,,
0,Instruct,-,10,"You will now be presented with the first word from each of the previously studied item pairs. Please type the missing word. If you do not know the word, you may guess or press Enter to skip forward to the next pair.",,Instruct3,,No,,,,,
7,Test,User,-,,Recall,Recall1,,No,,,,,
8,Test,User,-,,Recall,Recall1,,No,,,,,
9,Test,User,-,,Recall,Recall1,,No,,,,,
10,Test,User,-,,Recall,Recall1,,No,,,,,
11,Test,User,-,,Recall,Recall1,,No,,,,,
12,Test,User,-,,Recall,Recall1,,No,,,,,
13,Test,User,-,,Recall,Recall1,,No,,,,,
14,Test,User,-,,Recall,Recall1,,No,,,,,
15,Test,User,-,,Recall,Recall1,,No,,,,,
16,Test,User,-,,Recall,Recall1,,No,,,,,
17,Test,User,-,,Recall,Recall1,,No,,,,,
18,Test,User,-,,Recall,Recall1,,No,,,,,
19,Test,User,-,,Recall,Recall1,,No,,,,,
20,Test,User,-,,Recall,Recall1,,No,,,,,
21,Test,User,-,,Recall,Recall1,,No,,,,,
22,Test,User,-,,Recall,Recall1,,No,,,,,
23,Test,User,-,,Recall,Recall1,,No,,,,,
24,Test,User,-,,Recall,Recall1,,No,,,,,
25,Test,User,-,,Recall,Recall1,,No,,,,,
26,Test,User,-,,Recall,Recall1,,No,,,,,
27,Test,User,-,,Recall,Recall1,,No,,,,,
28,Test,User,-,,Recall,Recall1,,No,,,,,
29,Test,User,-,,Recall,Recall1,,No,,,,,
30,Test,User,-,,Recall,Recall1,,No,,,,,
31,Test,User,-,,Recall,Recall1,,No,,,,,
32,Test,User,-,,Recall,Recall1,,No,,,,,
33,Test,User,-,,Recall,Recall1,,No,,,,,
34,Test,User,-,,Recall,Recall1,,No,,,,,
35,Test,User,-,,Recall,Recall1,,No,,,,,
36,Test,User,-,,Recall,Recall1,,No,,,,,
37,Test,User,-,,Recall,Recall1,,No,,,,,
38,Test,User,-,,Recall,Recall1,,No,,,,,
39,Test,User,-,,Recall,Recall1,,No,,,,,
40,Test,User,-,,Recall,Recall1,,No,,,,,
41,Test,User,-,,Recall,Recall1,,No,,,,,
42,Test,User,-,,Recall,Recall1,,No,,,,,
43,Test,User,-,,Recall,Recall1,,No,,,,,
44,Test,User,-,,Recall,Recall1,,No,,,,,
45,Test,User,-,,Recall,Recall1,,No,,,,,
46,Test,User,-,,Recall,Recall1,,No,,,,,
0,Instruct,-,10,"You will now be presented with a new set of word pairs. Please study each pair. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct4,,No,,,,,
0,Instruct,,10,You will again be asked to rate your ability to remember these items using a 0 to 100 scale. Remember to use the full range of the scale!,,Instruct10,,No,,,,,
0,Instruct,User,-,Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up. Press Enter when you are ready to begin.,,Instruct11,,No,,,,,
52,Study,4,4,,Study/JOL,BUFFER3,52,JOL,5,5,,Study/JOL,BUFFER3
53,Study,4,4,,Study/JOL,BUFFER3,53,JOL,5,5,,Study/JOL,BUFFER3
54,Study,4,4,,Study/JOL,BUFFER3,54,JOL,5,5,,Study/JOL,BUFFER3
55,Study,4,4,,Study/JOL,BUFFER3,55,JOL,5,5,,Study/JOL,BUFFER3
56,Study,4,4,,Study/JOL,BUFFER3,56,JOL,5,5,,Study/JOL,BUFFER3
57,Study,4,4,,Study/JOL,Study Phase2,57,JOL,5,5,,Study/JOL,Study Phase2
59,Study,4,4,,Study/JOL,Study Phase2,59,JOL,5,5,,Study/JOL,Study Phase2
59,Study,4,4,,Study/JOL,Study Phase2,59,JOL,5,5,,Study/JOL,Study Phase2
60,Study,4,4,,Study/JOL,Study Phase2,60,JOL,5,5,,Study/JOL,Study Phase2
61,Study,4,4,,Study/JOL,Study Phase2,61,JOL,5,5,,Study/JOL,Study Phase2
62,Study,4,4,,Study/JOL,Study Phase2,62,JOL,5,5,,Study/JOL,Study Phase2
63,Study,4,4,,Study/JOL,Study Phase2,63,JOL,5,5,,Study/JOL,Study Phase2
64,Study,4,4,,Study/JOL,Study Phase2,64,JOL,5,5,,Study/JOL,Study Phase2
65,Study,4,4,,Study/JOL,Study Phase2,65,JOL,5,5,,Study/JOL,Study Phase2
66,Study,4,4,,Study/JOL,Study Phase2,66,JOL,5,5,,Study/JOL,Study Phase2
67,Study,4,4,,Study/JOL,Study Phase2,67,JOL,5,5,,Study/JOL,Study Phase2
68,Study,4,4,,Study/JOL,Study Phase2,68,JOL,5,5,,Study/JOL,Study Phase2
69,Study,4,4,,Study/JOL,Study Phase2,69,JOL,5,5,,Study/JOL,Study Phase2
70,Study,4,4,,Study/JOL,Study Phase2,70,JOL,5,5,,Study/JOL,Study Phase2
71,Study,4,4,,Study/JOL,Study Phase2,71,JOL,5,5,,Study/JOL,Study Phase2
72,Study,4,4,,Study/JOL,Study Phase2,72,JOL,5,5,,Study/JOL,Study Phase2
73,Study,4,4,,Study/JOL,Study Phase2,73,JOL,5,5,,Study/JOL,Study Phase2
74,Study,4,4,,Study/JOL,Study Phase2,74,JOL,5,5,,Study/JOL,Study Phase2
75,Study,4,4,,Study/JOL,Study Phase2,75,JOL,5,5,,Study/JOL,Study Phase2
76,Study,4,4,,Study/JOL,Study Phase2,76,JOL,5,5,,Study/JOL,Study Phase2
77,Study,4,4,,Study/JOL,Study Phase2,77,JOL,5,5,,Study/JOL,Study Phase2
78,Study,4,4,,Study/JOL,Study Phase2,78,JOL,5,5,,Study/JOL,Study Phase2
79,Study,4,4,,Study/JOL,Study Phase2,79,JOL,5,5,,Study/JOL,Study Phase2
80,Study,4,4,,Study/JOL,Study Phase2,80,JOL,5,5,,Study/JOL,Study Phase2
81,Study,4,4,,Study/JOL,Study Phase2,81,JOL,5,5,,Study/JOL,Study Phase2
82,Study,4,4,,Study/JOL,Study Phase2,82,JOL,5,5,,Study/JOL,Study Phase2
23,Study,4,4,,Study/JOL,Study Phase2,23,JOL,5,5,,Study/JOL,Study Phase2
84,Study,4,4,,Study/JOL,Study Phase2,84,JOL,5,5,,Study/JOL,Study Phase2
85,Study,4,4,,Study/JOL,Study Phase2,85,JOL,5,5,,Study/JOL,Study Phase2
86,Study,4,4,,Study/JOL,Study Phase2,86,JOL,5,5,,Study/JOL,Study Phase2
87,Study,4,4,,Study/JOL,Study Phase2,87,JOL,5,5,,Study/JOL,Study Phase2
88,Study,4,4,,Study/JOL,Study Phase2,88,JOL,5,5,,Study/JOL,Study Phase2
89,Study,4,4,,Study/JOL,Study Phase2,89,JOL,5,5,,Study/JOL,Study Phase2
90,Study,4,4,,Study/JOL,Study Phase2,90,JOL,5,5,,Study/JOL,Study Phase2
91,Study,4,4,,Study/JOL,Study Phase2,91,JOL,5,5,,Study/JOL,Study Phase2
92,Study,4,4,,Study/JOL,Study Phase2,92,JOL,5,5,,Study/JOL,Study Phase2
93,Study,4,4,,Study/JOL,Study Phase2,93,JOL,5,5,,Study/JOL,Study Phase2
94,Study,4,4,,Study/JOL,Study Phase2,94,JOL,5,5,,Study/JOL,Study Phase2
95,Study,4,4,,Study/JOL,Study Phase2,95,JOL,5,5,,Study/JOL,Study Phase2
96,Study,4,4,,Study/JOL,Study Phase2,96,JOL,5,5,,Study/JOL,Study Phase2
97,Study,4,4,,Study/JOL,BUFFER4,97,JOL,5,5,,Study/JOL,BUFFER4
98,Study,4,4,,Study/JOL,BUFFER4,98,JOL,5,5,,Study/JOL,BUFFER4
99,Study,4,4,,Study/JOL,BUFFER4,99,JOL,5,5,,Study/JOL,BUFFER4
100,Study,4,4,,Study/JOL,BUFFER4,100,JOL,5,5,,Study/JOL,BUFFER4
101,Study,4,4,,Study/JOL,BUFFER4,101,JOL,5,5,,Study/JOL,BUFFER4
0,Instruct,User,-,You have completed this section. Please press Enter.,Filler_Instruction,Instruct5,,No,,,,,
0,FreeRecall,120,120,Please list the 50 US states in reverse alphabetical order (z - a). The task will automatically advance to the next screen after two minutes.,,Filler2,,No,,,,,
0,Instruct,-,10,"You will now be presented with the first word from each of the previously studied item pairs. Please type the missing word. If you do not know the word, you may guess or press Enter to skip forward to the next pair.",,Instruct6,,No,,,,,
57,Test,User,-,,Recall,Recall2,,No,,,,,
59,Test,User,-,,Recall,Recall2,,No,,,,,
59,Test,User,-,,Recall,Recall2,,No,,,,,
60,Test,User,-,,Recall,Recall2,,No,,,,,
61,Test,User,-,,Recall,Recall2,,No,,,,,
62,Test,User,-,,Recall,Recall2,,No,,,,,
63,Test,User,-,,Recall,Recall2,,No,,,,,
64,Test,User,-,,Recall,Recall2,,No,,,,,
65,Test,User,-,,Recall,Recall2,,No,,,,,
66,Test,User,-,,Recall,Recall2,,No,,,,,
67,Test,User,-,,Recall,Recall2,,No,,,,,
68,Test,User,-,,Recall,Recall2,,No,,,,,
69,Test,User,-,,Recall,Recall2,,No,,,,,
70,Test,User,-,,Recall,Recall2,,No,,,,,
71,Test,User,-,,Recall,Recall2,,No,,,,,
72,Test,User,-,,Recall,Recall2,,No,,,,,
73,Test,User,-,,Recall,Recall2,,No,,,,,
74,Test,User,-,,Recall,Recall2,,No,,,,,
75,Test,User,-,,Recall,Recall2,,No,,,,,
76,Test,User,-,,Recall,Recall2,,No,,,,,
77,Test,User,-,,Recall,Recall2,,No,,,,,
78,Test,User,-,,Recall,Recall2,,No,,,,,
79,Test,User,-,,Recall,Recall2,,No,,,,,
80,Test,User,-,,Recall,Recall2,,No,,,,,
81,Test,User,-,,Recall,Recall2,,No,,,,,
82,Test,User,-,,Recall,Recall2,,No,,,,,
23,Test,User,-,,Recall,Recall2,,No,,,,,
84,Test,User,-,,Recall,Recall2,,No,,,,,
85,Test,User,-,,Recall,Recall2,,No,,,,,
86,Test,User,-,,Recall,Recall2,,No,,,,,
87,Test,User,-,,Recall,Recall2,,No,,,,,
88,Test,User,-,,Recall,Recall2,,No,,,,,
89,Test,User,-,,Recall,Recall2,,No,,,,,
90,Test,User,-,,Recall,Recall2,,No,,,,,
91,Test,User,-,,Recall,Recall2,,No,,,,,
92,Test,User,-,,Recall,Recall2,,No,,,,,
93,Test,User,-,,Recall,Recall2,,No,,,,,
94,Test,User,-,,Recall,Recall2,,No,,,,,
95,Test,User,-,,Recall,Recall2,,No,,,,,
96,Test,User,-,,Recall,Recall2,,No,,,,,
0,Instruct,User,-,You have completed this section. Please press Enter.,,Instruct7,,No,,,,,
0,Instruct,User,-,The following screen will ask you a few questions abour your experience today. You must complete these questions to receive credit.,,Instruct8,,No,,,,,
