Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time
14,Test,User,-,,Recall,Recall1,14,CONF,User,-
15,Test,User,-,,Recall,Recall1,15,CONF,User,-
16,Test,User,-,,Recall,Recall1,16,CONF,User,-
17,Test,User,-,,Recall,Recall1,17,CONF,User,-
18,Test,User,-,,Recall,Recall1,18,CONF,User,-
19,Test,User,-,,Recall,Recall1,19,CONF,User,-
20,Test,User,-,,Recall,Recall1,20,CONF,User,-
21,Test,User,-,,Recall,Recall1,21,CONF,User,-
22,Test,User,-,,Recall,Recall1,22,CONF,User,-
23,Test,User,-,,Recall,Recall1,23,CONF,User,-
24,Test,User,-,,Recall,Recall1,24,CONF,User,-
25,Test,User,-,,Recall,Recall1,25,CONF,User,-
26,Test,User,-,,Recall,Recall1,26,CONF,User,-
27,Test,User,-,,Recall,Recall1,27,CONF,User,-
28,Test,User,-,,Recall,Recall1,28,CONF,User,-
29,Test,User,-,,Recall,Recall1,29,CONF,User,-
30,Test,User,-,,Recall,Recall1,30,CONF,User,-
31,Test,User,-,,Recall,Recall1,31,CONF,User,-
32,Test,User,-,,Recall,Recall1,32,CONF,User,-
33,Test,User,-,,Recall,Recall1,33,CONF,User,-
34,Test,User,-,,Recall,Recall1,34,CONF,User,-
35,Test,User,-,,Recall,Recall1,35,CONF,User,-
36,Test,User,-,,Recall,Recall1,36,CONF,User,-
37,Test,User,-,,Recall,Recall1,37,CONF,User,-
38,Test,User,-,,Recall,Recall1,38,CONF,User,-
39,Test,User,-,,Recall,Recall1,39,CONF,User,-
40,Test,User,-,,Recall,Recall1,40,CONF,User,-
41,Test,User,-,,Recall,Recall1,41,CONF,User,-
42,Test,User,-,,Recall,Recall1,42,CONF,User,-
43,Test,User,-,,Recall,Recall1,43,CONF,User,-
44,Test,User,-,,Recall,Recall1,44,CONF,User,-
45,Test,User,-,,Recall,Recall1,45,CONF,User,-
46,Test,User,-,,Recall,Recall1,46,CONF,User,-
0,Instruct,-,10,"You will now be presented with a new set of word pairs. Please study each pair. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct4,,No,,
0,Instruct,,10,You will again be asked to rate your ability to remember these items using a 0 to 100 scale. Remember to use the full range of the scale!,,Instruct10,,No,,
0,Instruct,User,-,Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up. Press Enter when you are ready to begin.,,Instruct11,,No,,
52,Study,4,4,,Study/JOL,BUFFER3,,No,,
53,Study,4,4,,Study/JOL,BUFFER3,,No,,
54,Study,4,4,,Study/JOL,BUFFER3,,No,,
55,Study,4,4,,Study/JOL,BUFFER3,,No,,
56,Study,4,4,,Study/JOL,BUFFER3,,No,,
57,Study,4,4,,Study/JOL,Study Phase2,,No,,
59,Study,4,4,,Study/JOL,Study Phase2,,No,,
59,Study,4,4,,Study/JOL,Study Phase2,,No,,
60,Study,4,4,,Study/JOL,Study Phase2,,No,,
61,Study,4,4,,Study/JOL,Study Phase2,,No,,
62,Study,4,4,,Study/JOL,Study Phase2,,No,,
63,Study,4,4,,Study/JOL,Study Phase2,,No,,
64,Study,4,4,,Study/JOL,Study Phase2,,No,,
65,Study,4,4,,Study/JOL,Study Phase2,,No,,
66,Study,4,4,,Study/JOL,Study Phase2,,No,,
67,Study,4,4,,Study/JOL,Study Phase2,,No,,
68,Study,4,4,,Study/JOL,Study Phase2,,No,,
69,Study,4,4,,Study/JOL,Study Phase2,,No,,
70,Study,4,4,,Study/JOL,Study Phase2,,No,,
71,Study,4,4,,Study/JOL,Study Phase2,,No,,
72,Study,4,4,,Study/JOL,Study Phase2,,No,,
73,Study,4,4,,Study/JOL,Study Phase2,,No,,
74,Study,4,4,,Study/JOL,Study Phase2,,No,,
75,Study,4,4,,Study/JOL,Study Phase2,,No,,
76,Study,4,4,,Study/JOL,Study Phase2,,No,,
77,Study,4,4,,Study/JOL,Study Phase2,,No,,
78,Study,4,4,,Study/JOL,Study Phase2,,No,,
79,Study,4,4,,Study/JOL,Study Phase2,,No,,
80,Study,4,4,,Study/JOL,Study Phase2,,No,,
81,Study,4,4,,Study/JOL,Study Phase2,,No,,
82,Study,4,4,,Study/JOL,Study Phase2,,No,,
23,Study,4,4,,Study/JOL,Study Phase2,,No,,
84,Study,4,4,,Study/JOL,Study Phase2,,No,,
85,Study,4,4,,Study/JOL,Study Phase2,,No,,
86,Study,4,4,,Study/JOL,Study Phase2,,No,,
87,Study,4,4,,Study/JOL,Study Phase2,,No,,
88,Study,4,4,,Study/JOL,Study Phase2,,No,,
89,Study,4,4,,Study/JOL,Study Phase2,,No,,
90,Study,4,4,,Study/JOL,Study Phase2,,No,,
91,Study,4,4,,Study/JOL,Study Phase2,,No,,
92,Study,4,4,,Study/JOL,Study Phase2,,No,,
93,Study,4,4,,Study/JOL,Study Phase2,,No,,
94,Study,4,4,,Study/JOL,Study Phase2,,No,,
95,Study,4,4,,Study/JOL,Study Phase2,,No,,
96,Study,4,4,,Study/JOL,Study Phase2,,No,,
97,Study,4,4,,Study/JOL,BUFFER4,,No,,
98,Study,4,4,,Study/JOL,BUFFER4,,No,,
99,Study,4,4,,Study/JOL,BUFFER4,,No,,
100,Study,4,4,,Study/JOL,BUFFER4,,No,,
101,Study,4,4,,Study/JOL,BUFFER4,,No,,
0,Instruct,User,-,You have completed this section. Please press Enter.,Filler_Instruction,Instruct5,,No,,
0,FreeRecall,120,120,Please list the 50 US states in reverse alphabetical order (z - a). The task will automatically advance to the next screen after two minutes.,,Filler2,,No,,
0,Instruct,-,10,"You will now be presented with the first word from each of the previously studied item pairs. Please type the missing word. If you do not know the word, you may guess or press Enter to skip forward to the next pair.",,Instruct6,,No,,
57,Test,User,-,,Recall,Recall2,57,CONF,User,-
59,Test,User,-,,Recall,Recall2,59,CONF,User,-
59,Test,User,-,,Recall,Recall2,59,CONF,User,-
60,Test,User,-,,Recall,Recall2,60,CONF,User,-
61,Test,User,-,,Recall,Recall2,61,CONF,User,-
62,Test,User,-,,Recall,Recall2,62,CONF,User,-
63,Test,User,-,,Recall,Recall2,63,CONF,User,-
64,Test,User,-,,Recall,Recall2,64,CONF,User,-
65,Test,User,-,,Recall,Recall2,65,CONF,User,-
66,Test,User,-,,Recall,Recall2,66,CONF,User,-
67,Test,User,-,,Recall,Recall2,67,CONF,User,-
68,Test,User,-,,Recall,Recall2,68,CONF,User,-
69,Test,User,-,,Recall,Recall2,69,CONF,User,-
70,Test,User,-,,Recall,Recall2,70,CONF,User,-
71,Test,User,-,,Recall,Recall2,71,CONF,User,-
72,Test,User,-,,Recall,Recall2,72,CONF,User,-
73,Test,User,-,,Recall,Recall2,73,CONF,User,-
74,Test,User,-,,Recall,Recall2,74,CONF,User,-
75,Test,User,-,,Recall,Recall2,75,CONF,User,-
76,Test,User,-,,Recall,Recall2,76,CONF,User,-
77,Test,User,-,,Recall,Recall2,77,CONF,User,-
78,Test,User,-,,Recall,Recall2,78,CONF,User,-
79,Test,User,-,,Recall,Recall2,79,CONF,User,-
80,Test,User,-,,Recall,Recall2,80,CONF,User,-
81,Test,User,-,,Recall,Recall2,81,CONF,User,-
82,Test,User,-,,Recall,Recall2,82,CONF,User,-
23,Test,User,-,,Recall,Recall2,23,CONF,User,-
84,Test,User,-,,Recall,Recall2,84,CONF,User,-
85,Test,User,-,,Recall,Recall2,85,CONF,User,-
86,Test,User,-,,Recall,Recall2,86,CONF,User,-
87,Test,User,-,,Recall,Recall2,87,CONF,User,-
88,Test,User,-,,Recall,Recall2,88,CONF,User,-
89,Test,User,-,,Recall,Recall2,89,CONF,User,-
90,Test,User,-,,Recall,Recall2,90,CONF,User,-
91,Test,User,-,,Recall,Recall2,91,CONF,User,-
92,Test,User,-,,Recall,Recall2,92,CONF,User,-
93,Test,User,-,,Recall,Recall2,93,CONF,User,-
94,Test,User,-,,Recall,Recall2,94,CONF,User,-
95,Test,User,-,,Recall,Recall2,95,CONF,User,-
96,Test,User,-,,Recall,Recall2,96,CONF,User,-
0,Instruct,User,-,You have completed this section. Please press Enter.,,Instruct7,,No,,
0,Instruct,User,-,The following screen will ask you a few questions abour your experience today. You must complete these questions to receive credit.,,Instruct8,,No,,
